bartoc,uri,label
http://bartoc.org/en/taxonomy/term/11777,http://eurovoc.europa.eu/965,family
http://bartoc.org/en/taxonomy/term/14131,http://eurovoc.europa.eu/3307,"artificial reproduction"
http://bartoc.org/en/taxonomy/term/11803,http://eurovoc.europa.eu/3168,"birth control"
http://bartoc.org/en/taxonomy/term/12478,http://eurovoc.europa.eu/974,fertility
http://bartoc.org/en/taxonomy/term/12479,http://eurovoc.europa.eu/1804,"financial market"
http://bartoc.org/en/taxonomy/term/11611,http://eurovoc.europa.eu/1000,financing
http://bartoc.org/en/taxonomy/term/12659,http://eurovoc.europa.eu/1952,"financing method"
http://bartoc.org/en/taxonomy/term/11849,http://eurovoc.europa.eu/2435,fish
http://bartoc.org/en/taxonomy/term/11883,http://eurovoc.europa.eu/1372,"fishing industry"
http://bartoc.org/en/taxonomy/term/12643,http://eurovoc.europa.eu/6052,"food additive"
http://bartoc.org/en/taxonomy/term/12580,http://eurovoc.europa.eu/1063,forest
http://bartoc.org/en/taxonomy/term/12596,http://eurovoc.europa.eu/6043,fuel
http://bartoc.org/en/taxonomy/term/12623,http://eurovoc.europa.eu/1139,gas
http://bartoc.org/en/taxonomy/term/11683,http://eurovoc.europa.eu/1393,"furniture industry"
http://bartoc.org/en/taxonomy/term/12449,http://eurovoc.europa.eu/749,"geothermal energy"
http://bartoc.org/en/taxonomy/term/11725,http://eurovoc.europa.eu/3193,"goods and services"
http://bartoc.org/en/taxonomy/term/11881,http://eurovoc.europa.eu/100215,health
http://bartoc.org/en/taxonomy/term/11734,http://eurovoc.europa.eu/1859,anatomy
http://bartoc.org/en/taxonomy/term/14047,http://eurovoc.europa.eu/838,epidemiology
http://bartoc.org/en/taxonomy/term/12635,http://eurovoc.europa.eu/1304,immunology
http://bartoc.org/en/taxonomy/term/14041,http://eurovoc.europa.eu/2923,"medical research"
http://bartoc.org/en/taxonomy/term/12589,http://eurovoc.europa.eu/1415,"pharmaceutical industry"
http://bartoc.org/en/taxonomy/term/12461,http://eurovoc.europa.eu/4474,toxicology
http://bartoc.org/en/taxonomy/term/11806,http://eurovoc.europa.eu/5810,"accident prevention"
http://bartoc.org/en/taxonomy/term/12425,http://eurovoc.europa.eu/5899,"health care"
http://bartoc.org/en/taxonomy/term/11751,http://eurovoc.europa.eu/5900,"nursing care"
http://bartoc.org/en/taxonomy/term/11901,http://eurovoc.europa.eu/6570,"palliative care"
http://bartoc.org/en/taxonomy/term/11805,http://eurovoc.europa.eu/1754,illness
http://bartoc.org/en/taxonomy/term/12634,http://eurovoc.europa.eu/6567,"chronic illness"
http://bartoc.org/en/taxonomy/term/11808,http://eurovoc.europa.eu/5104,cancer
http://bartoc.org/en/taxonomy/term/11884,http://eurovoc.europa.eu/5719,"disease of the nervous system"
http://bartoc.org/en/taxonomy/term/11853,http://eurovoc.europa.eu/8447,"eye disease"
http://bartoc.org/en/taxonomy/term/11910,http://eurovoc.europa.eu/1759,"infectious disease"
http://bartoc.org/en/taxonomy/term/11917,http://eurovoc.europa.eu/5172,AIDS
http://bartoc.org/en/taxonomy/term/12430,http://eurovoc.europa.eu/5939,trauma
http://bartoc.org/en/taxonomy/term/12417,http://eurovoc.europa.eu/1762,"tropical disease"
http://bartoc.org/en/taxonomy/term/11790,http://eurovoc.europa.eu/3844,"medical device"
http://bartoc.org/en/taxonomy/term/11911,http://eurovoc.europa.eu/876,"medical institution"
http://bartoc.org/en/taxonomy/term/11939,http://eurovoc.europa.eu/3813,medicament
http://bartoc.org/en/taxonomy/term/11713,http://eurovoc.europa.eu/1852,medicine
http://bartoc.org/en/taxonomy/term/12456,http://eurovoc.europa.eu/5305,"medical diagnosis"
http://bartoc.org/en/taxonomy/term/14096,http://eurovoc.europa.eu/5307,"medical examination"
http://bartoc.org/en/taxonomy/term/12636,http://eurovoc.europa.eu/2855,psychiatry
http://bartoc.org/en/taxonomy/term/11938,http://eurovoc.europa.eu/3289,"alternative medicine"
http://bartoc.org/en/taxonomy/term/11762,http://eurovoc.europa.eu/3286,paediatrics
http://bartoc.org/en/taxonomy/term/12422,http://eurovoc.europa.eu/5878,"mental health"
http://bartoc.org/en/taxonomy/term/11863,http://eurovoc.europa.eu/4306,narcotic
http://bartoc.org/en/taxonomy/term/11767,http://eurovoc.europa.eu/1268,nutrition
http://bartoc.org/en/taxonomy/term/11740,http://eurovoc.europa.eu/3885,"public health"
http://bartoc.org/en/taxonomy/term/11930,http://eurovoc.europa.eu/5970,surgery
http://bartoc.org/en/taxonomy/term/11942,http://eurovoc.europa.eu/4455,therapeutics
http://bartoc.org/en/taxonomy/term/11759,http://eurovoc.europa.eu/1153,gerontology
http://bartoc.org/en/taxonomy/term/12481,http://eurovoc.europa.eu/1864,household
http://bartoc.org/en/taxonomy/term/12475,http://eurovoc.europa.eu/1690,housing
http://bartoc.org/en/taxonomy/term/11835,http://eurovoc.europa.eu/584,"human rights"
http://bartoc.org/en/taxonomy/term/11749,http://eurovoc.europa.eu/3920,"crime against humanity"
http://bartoc.org/en/taxonomy/term/10757,http://eurovoc.europa.eu/100225,humanities
http://bartoc.org/en/taxonomy/term/11635,http://eurovoc.europa.eu/2453,archaeology
http://bartoc.org/en/taxonomy/term/11690,http://eurovoc.europa.eu/1670,linguistics
http://bartoc.org/en/taxonomy/term/11861,http://eurovoc.europa.eu/1580,language
http://bartoc.org/en/taxonomy/term/11704,http://eurovoc.europa.eu/5704,"living language"
http://bartoc.org/en/taxonomy/term/11718,http://eurovoc.europa.eu/2369,philosophy
http://bartoc.org/en/taxonomy/term/12582,http://eurovoc.europa.eu/1989,ethics
http://bartoc.org/en/taxonomy/term/12473,http://eurovoc.europa.eu/1523,"hydraulic works"
http://bartoc.org/en/taxonomy/term/11801,http://eurovoc.europa.eu/1274,hydrocarbon
http://bartoc.org/en/taxonomy/term/12624,http://eurovoc.europa.eu/2366,petroleum
http://bartoc.org/en/taxonomy/term/12548,http://eurovoc.europa.eu/221116,"hydroelectric power"
http://bartoc.org/en/taxonomy/term/11756,http://eurovoc.europa.eu/1302,immigration
http://bartoc.org/en/taxonomy/term/12482,http://eurovoc.europa.eu/3659,income
http://bartoc.org/en/taxonomy/term/11696,http://eurovoc.europa.eu/5799,"indigenous population"
http://bartoc.org/en/taxonomy/term/11614,http://eurovoc.europa.eu/4076,"industrial hazard"
http://bartoc.org/en/taxonomy/term/12522,http://eurovoc.europa.eu/2720,"industrial production"
http://bartoc.org/en/taxonomy/term/11866,http://eurovoc.europa.eu/4303,"industrial structures"
http://bartoc.org/en/taxonomy/term/12453,http://eurovoc.europa.eu/1377,"processing industry"
http://bartoc.org/en/taxonomy/term/11874,http://eurovoc.europa.eu/3619,handicrafts
http://bartoc.org/en/taxonomy/term/12459,http://eurovoc.europa.eu/3422,"information network"
http://bartoc.org/en/taxonomy/term/12648,http://eurovoc.europa.eu/6140,"information society"
http://bartoc.org/en/taxonomy/term/14051,http://eurovoc.europa.eu/4359,"information system"
http://bartoc.org/en/taxonomy/term/11837,http://eurovoc.europa.eu/1405,"information technology industry"
http://bartoc.org/en/taxonomy/term/11838,http://eurovoc.europa.eu/1696,software
http://bartoc.org/en/taxonomy/term/11624,http://eurovoc.europa.eu/616,"information transfer"
http://bartoc.org/en/taxonomy/term/12577,http://eurovoc.europa.eu/3151,insurance
http://bartoc.org/en/taxonomy/term/11854,http://eurovoc.europa.eu/2817,"intellectual property"
http://bartoc.org/en/taxonomy/term/11858,http://eurovoc.europa.eu/2816,"industrial property"
http://bartoc.org/en/taxonomy/term/11842,http://eurovoc.europa.eu/3663,"designs and models"
http://bartoc.org/en/taxonomy/term/11831,http://eurovoc.europa.eu/5042,patent
http://bartoc.org/en/taxonomy/term/11843,http://eurovoc.europa.eu/1821,trademark
http://bartoc.org/en/taxonomy/term/12578,http://eurovoc.europa.eu/565,"international law"
http://bartoc.org/en/taxonomy/term/11786,http://eurovoc.europa.eu/3228,"international relations"
http://bartoc.org/en/taxonomy/term/12564,http://eurovoc.europa.eu/5121,colonialism
http://bartoc.org/en/taxonomy/term/12618,http://eurovoc.europa.eu/2189,"international organisation"
http://bartoc.org/en/taxonomy/term/11629,http://eurovoc.europa.eu/3077,"development aid"
http://bartoc.org/en/taxonomy/term/11830,http://eurovoc.europa.eu/209,"economic cooperation"
http://bartoc.org/en/taxonomy/term/11811,http://eurovoc.europa.eu/216,"international cooperation"
http://bartoc.org/en/taxonomy/term/11799,http://eurovoc.europa.eu/3450,"international security"
http://bartoc.org/en/taxonomy/term/11800,http://eurovoc.europa.eu/6722,peace
http://bartoc.org/en/taxonomy/term/12551,http://eurovoc.europa.eu/1743,peacekeeping
http://bartoc.org/en/taxonomy/term/11789,http://eurovoc.europa.eu/2986,refugee
http://bartoc.org/en/taxonomy/term/11771,http://eurovoc.europa.eu/11,"international trade"
http://bartoc.org/en/taxonomy/term/11765,http://eurovoc.europa.eu/2748,"primary product"
http://bartoc.org/en/taxonomy/term/12593,http://eurovoc.europa.eu/3828,"iron product"
http://bartoc.org/en/taxonomy/term/12446,http://eurovoc.europa.eu/42,jurisdiction
http://bartoc.org/en/taxonomy/term/11869,http://eurovoc.europa.eu/557,"labour law"
http://bartoc.org/en/taxonomy/term/11764,http://eurovoc.europa.eu/1802,"labour market"
http://bartoc.org/en/taxonomy/term/11729,http://eurovoc.europa.eu/2868,"professional qualifications"
http://bartoc.org/en/taxonomy/term/11804,http://eurovoc.europa.eu/732,"whitecollar worker"
http://bartoc.org/en/taxonomy/term/12528,http://eurovoc.europa.eu/2813,"land and buildings"
http://bartoc.org/en/taxonomy/term/12437,http://eurovoc.europa.eu/4630,"land use"
http://bartoc.org/en/taxonomy/term/11720,http://eurovoc.europa.eu/5102,learning
http://bartoc.org/en/taxonomy/term/12520,http://eurovoc.europa.eu/5371,"legal action"
http://bartoc.org/en/taxonomy/term/11832,http://eurovoc.europa.eu/3935,"legal science"
http://bartoc.org/en/taxonomy/term/11833,http://eurovoc.europa.eu/527,"constitutional law"
http://bartoc.org/en/taxonomy/term/11703,http://eurovoc.europa.eu/6729,"internal law of religions"
http://bartoc.org/en/taxonomy/term/11710,http://eurovoc.europa.eu/6731,"canon law"
http://bartoc.org/en/taxonomy/term/11834,http://eurovoc.europa.eu/1589,legislation
http://bartoc.org/en/taxonomy/term/11864,http://eurovoc.europa.eu/1700,leisure
http://bartoc.org/en/taxonomy/term/12649,http://eurovoc.europa.eu/3336,"automatic game"
http://bartoc.org/en/taxonomy/term/12451,http://eurovoc.europa.eu/4245,sport
http://bartoc.org/en/taxonomy/term/12642,http://eurovoc.europa.eu/1530,"Olympic games"
http://bartoc.org/en/taxonomy/term/11810,http://eurovoc.europa.eu/4470,tourism
http://bartoc.org/en/taxonomy/term/12631,http://eurovoc.europa.eu/1373,"catering industry"
http://bartoc.org/en/taxonomy/term/12471,http://eurovoc.europa.eu/4767,travel
http://bartoc.org/en/taxonomy/term/12530,http://eurovoc.europa.eu/5962,livestock
http://bartoc.org/en/taxonomy/term/11778,http://eurovoc.europa.eu/5281,man
http://bartoc.org/en/taxonomy/term/12505,http://eurovoc.europa.eu/1154,management
http://bartoc.org/en/taxonomy/term/12465,http://eurovoc.europa.eu/3149,"marine life"
http://bartoc.org/en/taxonomy/term/11644,http://eurovoc.europa.eu/3992,"maritime area"
